PILOTO,EQUIPO,PUNTOS_TOTALES,China_R1,China_R2,Arabia_R1,Arabia_R2,Miami_R1,Miami_R2,Canada_R1,Canada_R2,Canada_R3,PaisesBajos_R1,PaisesBajos_R2,Singapur_R1,Singapur_R2
D. Pin,Prema Racing,151,5,26,6,15,11,0,25,5,16,3,15,5,19
M. Weug,MP Motorsport,142,6,20,8,25,5,0,0,0,8,7,28,8,27
E. Lloyd,Rodin Motorsport,101,3,6,10,4,0,0,18,8,18,5,12,2,15
C. Chambers,Campos Racing,99,9,15,2,21,6,2,7,0,27,4,0,6,0
A. Palmowski,Campos Racing,73,10,8,6,12,8,0,0,3,6,2,18,0,0
N. Gademan,Prema Racing,60,0,1,1,6,4,0,15,6,0,10,8,1,8
A. Larsen,MP Motorsport,58,2,12,4,10,0,0,10,4,4,0,2,0,10
T. Hausmann,Prema Racing,46,0,0,3,8,2,0,8,3,12,0,10,0,0
E. Felbermayr,Rodin Motorsport,37,0,10,0,0,0,0,0,10,1,1,0,3,12
L. Block,ART Grand Prix,33,0,2,0,0,0,0,12,1,0,8,0,10,0
C. Chong,Rodin Motorsport,18,0,0,0,1,0,0,0,0,10,0,1,0,6
R. Ferreira,Campos Racing,15,4,4,0,0,1,0,0,0,0,0,4,0,2
A. Nobels,ART Grand Prix,10,0,0,0,0,3,0,2,0,0,0,0,5,0
J. Ciconte,MP Motorsport,8,0,0,0,2,0,0,0,0,2,0,0,0,4
E. Kosterman (WCD),Hitech TGR,6,0,0,0,0,0,0,0,0,0,0,6,0,0
A. Anagnostiadis,Hitech TGR,5,1,0,0,0,0,0,4,0,0,0,0,0,0
C. Crone,ART Grand Prix,1,0,0,0,0,0,0,0,0,0,0,0,0,1
N. Havrda,Hitech TGR,1,0,0,0,0,0,0,1,0,0,0,0,0,0
M. Paatz (WCD),Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Bruce,Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Dobson (WCD),Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Shi (WCD),Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F. AlYousef (WCD),Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. Billard (WCD),Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. Robertson,Hitech TGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
