tecnologia_etiqueta,potencia_instalada_imputada,provincia,region
TERMICA,642.7,SALTA,NOA
TERMICA,361.0,SALTA,NOA
TERMICA,217.0,JUJUY,NOA
TERMICA,15.0,SALTA,NOA
TERMICA,30.4,SALTA,NOA
TERMICA,120.0,TUCUMAN,NOA
TERMICA,15.0,CATAMARCA,NOA
TERMICA,232.0,TUCUMAN,NOA
TERMICA,447.0,TUCUMAN,NOA
TERMICA,382.0,TUCUMAN,NOA
TERMICA,8.0,CATAMARCA,NOA
TERMICA,15.0,CATAMARCA,NOA
TERMICA,7.0,CATAMARCA,NOA
TERMICA,60.0,SANTIAGO DEL ESTERO,NOA
TERMICA,10.0,LA RIOJA,Cuyo
TERMICA,19.2,LA RIOJA,Cuyo
TERMICA,10.0,LA RIOJA,Cuyo
TERMICA,30.7,SANTIAGO DEL ESTERO,NOA
TERMICA,32.5,SANTIAGO DEL ESTERO,NOA
TERMICA,88.0,LA RIOJA,Cuyo
TERMICA,15.26,JUJUY,NOA
TERMICA,15.0,MISIONES,NEA
TERMICA,15.0,MISIONES,NEA
TERMICA,21.7,CHACO,NEA
TERMICA,15.0,CHACO,NEA
TERMICA,20.0,CORRIENTES,NEA
TERMICA,19.8,CHACO,NEA
TERMICA,30.0,FORMOSA,NEA
TERMICA,13.0,CORRIENTES,NEA
TERMICA,4.0,FORMOSA,NEA
TERMICA,7.2,CORRIENTES,NEA
TERMICA,217.0,MISIONES,NEA
TERMICA,7.0,FORMOSA,NEA
TERMICA,7.2,CHACO,NEA
TERMICA,62.95,MISIONES,NEA
TERMICA,7.2,CORRIENTES,NEA
TERMICA,16.25,FORMOSA,NEA
TERMICA,20.0,CHACO,NEA
TERMICA,15.0,CHACO,NEA
TERMICA,15.0,CHACO,NEA
TERMICA,7.2,CORRIENTES,NEA
TERMICA,15.0,CHACO,NEA
TERMICA,14.0,MENDOZA,Cuyo
TERMICA,573.556,MENDOZA,Cuyo
TERMICA,30.0,SAN JUAN,Cuyo
TERMICA,20.0,RIO NEGRO,Patagonia
TERMICA,62.9,NEUQUEN,Patagonia
TERMICA,18.6,NEUQUEN,Patagonia
TERMICA,62.95,NEUQUEN,Patagonia
TERMICA,62.95,NEUQUEN,Patagonia
TERMICA,18.6,RIO NEGRO,Patagonia
TERMICA,193.13,RIO NEGRO,Patagonia
TERMICA,62.95,RIO NEGRO,Patagonia
TERMICA,477.1,NEUQUEN,Patagonia
TERMICA,96.0,NEUQUEN,Patagonia
TERMICA,62.95,NEUQUEN,Patagonia
TERMICA,24.0,LA PAMPA,Pampeana
TERMICA,765.0,NEUQUEN,Patagonia
TERMICA,50.0,SANTA CRUZ,Patagonia
TERMICA,18.6,SANTA CRUZ,Patagonia
TERMICA,217.0,SANTA CRUZ,Patagonia
TERMICA,18.6,SANTA CRUZ,Patagonia
TERMICA,62.95,SANTA CRUZ,Patagonia
TERMICA,45.0,SANTA CRUZ,Patagonia
TERMICA,189.0,CHUBUT,Patagonia
TERMICA,125.1,CHUBUT,Patagonia
TERMICA,73.0,CHUBUT,Patagonia
TERMICA,18.6,SANTA CRUZ,Patagonia
TERMICA,10.8,ENTRE RIOS,Pampeana
TERMICA,10.0,ENTRE RIOS,Pampeana
TERMICA,280.0,SANTA FE,Pampeana
TERMICA,10.8,ENTRE RIOS,Pampeana
TERMICA,18.0,SANTA FE,Pampeana
TERMICA,19.2,SANTA FE,Pampeana
TERMICA,865.14,SANTA FE,Pampeana
TERMICA,846.565,SANTA FE,Pampeana
TERMICA,19.2,SANTA FE,Pampeana
TERMICA,31.9,SANTA FE,Pampeana
TERMICA,217.0,SANTA FE,Pampeana
TERMICA,217.0,SANTA FE,Pampeana
TERMICA,217.0,SANTA FE,Pampeana
TERMICA,100.0,CORDOBA,Pampeana
TERMICA,342.961,CORDOBA,Pampeana
NUCLEAR,648.0,CORDOBA,Pampeana
TERMICA,32.0,CORDOBA,Pampeana
TERMICA,466.0,CORDOBA,Pampeana
TERMICA,39.0,CORDOBA,Pampeana
TERMICA,62.95,CORDOBA,Pampeana
TERMICA,48.0,CORDOBA,Pampeana
TERMICA,15.6,CORDOBA,Pampeana
TERMICA,46.0,CORDOBA,Pampeana
TERMICA,26.0,CORDOBA,Pampeana
TERMICA,163.3,BUENOS AIRES,Pampeana
TERMICA,20.0,BUENOS AIRES,Pampeana
NUCLEAR,745.0,BUENOS AIRES,Pampeana
NUCLEAR,362.0,BUENOS AIRES,Pampeana
TERMICA,15.3,BUENOS AIRES,Pampeana
TERMICA,15.0,BUENOS AIRES,Pampeana
TERMICA,23.5,BUENOS AIRES,Pampeana
TERMICA,204.0,BUENOS AIRES,Pampeana
TERMICA,176.88,BUENOS AIRES,Pampeana
TERMICA,20.0,BUENOS AIRES,Pampeana
TERMICA,620.0,BUENOS AIRES,Pampeana
TERMICA,13.2,BUENOS AIRES,Pampeana
TERMICA,62.95,BUENOS AIRES,Pampeana
TERMICA,582.6,BUENOS AIRES,Pampeana
TERMICA,869.51,BUENOS AIRES,Pampeana
TERMICA,675.0,BUENOS AIRES,Pampeana
TERMICA,217.0,BUENOS AIRES,Pampeana
TERMICA,22.0,BUENOS AIRES,Pampeana
TERMICA,5.0,BUENOS AIRES,Pampeana
TERMICA,217.0,BUENOS AIRES,Pampeana
TERMICA,19.68,BUENOS AIRES,Pampeana
TERMICA,873.0,BUENOS AIRES,Pampeana
TERMICA,30.0,BUENOS AIRES,Pampeana
TERMICA,125.0,BUENOS AIRES,Pampeana
TERMICA,25.0,BUENOS AIRES,Pampeana
TERMICA,25.0,BUENOS AIRES,Pampeana
TERMICA,567.0,BUENOS AIRES,Pampeana
TERMICA,128.0,BUENOS AIRES,Pampeana
TERMICA,40.4,BUENOS AIRES,Pampeana
TERMICA,55.0,BUENOS AIRES,Pampeana
TERMICA,869.5,BUENOS AIRES,Pampeana
TERMICA,27.6,BUENOS AIRES,Pampeana
TERMICA,62.95,BUENOS AIRES,Pampeana
TERMICA,1982.0,CIUDAD AUTONOMA DE BUENOS,Pampeana
TERMICA,1247.64,BUENOS AIRES,Pampeana
TERMICA,1188.0,CIUDAD AUTONOMA DE BUENOS,Pampeana
TERMICA,589.0,CIUDAD AUTONOMA DE BUENOS,Pampeana
TERMICA,321.6,CIUDAD AUTONOMA DE BUENOS,Pampeana
TERMICA,35.6,CIUDAD AUTONOMA DE BUENOS,Pampeana
TERMICA,63.0,BUENOS AIRES,Pampeana
TERMICA,229.0,BUENOS AIRES,Pampeana
TERMICA,91.0,JUJUY,NOA
TERMICA,58.5,BUENOS AIRES,Pampeana
TERMICA,61.2,BUENOS AIRES,Pampeana
TERMICA,258.649,BUENOS AIRES,Pampeana
TERMICA,81.088,SANTA FE,Pampeana
TERMICA,67.232,SANTA FE,Pampeana
TERMICA,50.35,SANTA FE,Pampeana
TERMICA,172.0,SANTA FE,Pampeana
TERMICA,100.398,BUENOS AIRES,Pampeana
TERMICA,40.0,MENDOZA,Cuyo
TERMICA,152.1,BUENOS AIRES,Pampeana
TERMICA,105.0,NEUQUEN,Patagonia
TERMICA,247.84,BUENOS AIRES,Pampeana
TERMICA,100.02,BUENOS AIRES,Pampeana
TERMICA,158.46,BUENOS AIRES,Pampeana
TERMICA,473.0,TUCUMAN,NOA
TERMICA,254.0,BUENOS AIRES,Pampeana
TERMICA,127.3,BUENOS AIRES,Pampeana
TERMICA,212.2,BUENOS AIRES,Pampeana
TERMICA,255.22,CORDOBA,Pampeana
TERMICA,184.4,NEUQUEN,Patagonia
TERMICA,94.74,BUENOS AIRES,Pampeana
TERMICA,19.2,CATAMARCA,NOA
TERMICA,60.0,CORDOBA,Pampeana
TERMICA,49.6,TUCUMAN,NOA
TERMICA,49.0,TUCUMAN,NOA
TERMICA,107.0,NEUQUEN,Patagonia
TERMICA,63.0,CHUBUT,Patagonia
TERMICA,6.0,CHACO,NEA
TERMICA,90.2,BUENOS AIRES,Pampeana
TERMICA,380.04,SANTA FE,Pampeana
TERMICA,62.95,CHUBUT,Patagonia
TERMICA,15.0,NEUQUEN,Patagonia
TERMICA,42.0,CHUBUT,Patagonia
TERMICA,62.95,CORRIENTES,NEA
TERMICA,109.04,BUENOS AIRES,Pampeana
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,MENDOZA,Cuyo
TERMICA,18.6,NEUQUEN,Patagonia
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,SALTA,NOA
TERMICA,18.6,JUJUY,NOA
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,CHACO,NEA
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,MISIONES,NEA
TERMICA,18.6,NEUQUEN,Patagonia
TERMICA,18.6,NEUQUEN,Patagonia
TERMICA,18.6,SALTA,NOA
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,RIO NEGRO,Patagonia
TERMICA,18.6,RIO NEGRO,Patagonia
TERMICA,18.6,RIO NEGRO,Patagonia
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,CATAMARCA,NOA
TERMICA,18.6,SALTA,NOA
TERMICA,18.6,MISIONES,NEA
TERMICA,18.6,NEUQUEN,Patagonia
TERMICA,18.6,LA PAMPA,Pampeana
TERMICA,18.6,CATAMARCA,NOA
TERMICA,18.6,SALTA,NOA
TERMICA,62.95,CORDOBA,Pampeana
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,RIO NEGRO,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,18.6,CHUBUT,Patagonia
TERMICA,350.82000000000005,SANTA FE,Pampeana
